"","Date","Rep","Treatment","TankID","Salinity","pH","TempInSitu","DO","DO_mg_L","Time","DateTime"
"1",20240528,1,"2006","Pre 1",36.5,7.99378574932228,27.79,79.4,5.08,"6:00",2024-05-28 06:00:00
"2",20240528,2,"2006","Pre 2",36.4,8.05751291244692,26.671,79,5.06,"6:00",2024-05-28 06:00:00
"3",20240528,3,"2006","Pre 3",36.4,8.0850045191623,27.71,75.7,4.84,"6:00",2024-05-28 06:00:00
"4",20240528,4,"2006","Pre 4",36.3,8.07751918372429,27.757,81.2,5.18,"6:00",2024-05-28 06:00:00
"5",20240528,1,"2011","COTS 1",36.3,8.0856684506936,27.504,88.8,5.66,"6:00",2024-05-28 06:00:00
"6",20240528,2,"2011","COTS 2",36.3,8.07653451704678,27.701,85.5,5.48,"6:00",2024-05-28 06:00:00
"7",20240528,3,"2011","COTS 3",36.3,8.08449058397093,27.735,85.6,5.48,"6:00",2024-05-28 06:00:00
"8",20240528,4,"2011","COTS 4",36.4,8.01749908978771,27.613,75.1,4.82,"6:00",2024-05-28 06:00:00
"9",20240528,1,"2019","Bleach 1",36.3,8.07793844064228,27.723,83.3,5.36,"6:00",2024-05-28 06:00:00
"10",20240528,2,"2019","Bleach 2",36.3,8.07807408749058,27.712,83.5,5.33,"6:00",2024-05-28 06:00:00
"11",20240528,3,"2019","Bleach 3",36.3,8.07973904099895,27.577,85.3,5.45,"6:00",2024-05-28 06:00:00
"12",20240528,4,"2019","Bleach 4",36.1,8.07202312090265,27.626,81.4,5.22,"6:00",2024-05-28 06:00:00
"13",20240528,1,"Control","Control 1",36.5,8.08306202492447,27.477,80,5.13,"6:00",2024-05-28 06:00:00
"14",20240528,2,"Control","Control 2",36.5,8.07744059503394,27.525,80.3,5.15,"6:00",2024-05-28 06:00:00
"15",20240528,1,"2006","Pre 1",36.4,8.10119121190236,28.832,103,6.46,"9:00",2024-05-28 09:00:00
"16",20240528,2,"2006","Pre 2",36.4,8.09329889601651,28.661,102.2,6.43,"9:00",2024-05-28 09:00:00
"17",20240528,3,"2006","Pre 3",36.4,8.07963040286653,28.145,88.8,5.62,"9:00",2024-05-28 09:00:00
"18",20240528,4,"2006","Pre 4",36.4,8.08488634447359,28.261,82.3,5.19,"9:00",2024-05-28 09:00:00
"19",20240528,1,"2011","COTS 1",36.4,8.08291409823276,28.15,84.6,5.37,"9:00",2024-05-28 09:00:00
"20",20240528,2,"2011","COTS 2",36.4,8.0862719149135,28.149,82.9,5.25,"9:00",2024-05-28 09:00:00
"21",20240528,3,"2011","COTS 3",36.4,8.08519280965569,28.101,86.2,5.47,"9:00",2024-05-28 09:00:00
"22",20240528,4,"2011","COTS 4",36.4,8.0949563722549,28.662,85.9,5.41,"9:00",2024-05-28 09:00:00
"23",20240528,1,"2019","Bleach 1",36.2,8.0948863804546,28.231,82.6,5.23,"9:00",2024-05-28 09:00:00
"24",20240528,2,"2019","Bleach 2",36.4,8.0890849040464,28.192,82.2,5.22,"9:00",2024-05-28 09:00:00
"25",20240528,3,"2019","Bleach 3",36.4,8.10452876371409,28.295,81.8,5.16,"9:00",2024-05-28 09:00:00
"26",20240528,4,"2019","Bleach 4",36.5,8.11258018420001,28.336,81,5.11,"9:00",2024-05-28 09:00:00
"27",20240528,1,"Control","Control 1",36.4,8.08424056164663,28.178,75.6,4.8,"9:00",2024-05-28 09:00:00
"28",20240528,2,"Control","Control 2",36.4,8.08378302789579,28.215,75,4.76,"9:00",2024-05-28 09:00:00
"29",20240528,1,"2006","Pre 1",36.4,8.07932031613897,28.576,89,5.61,"12:00",2024-05-28 12:00:00
"30",20240528,2,"2006","Pre 2",36.3,8.07441659732061,28.551,78.5,4.93,"12:00",2024-05-28 12:00:00
"31",20240528,3,"2006","Pre 3",36.3,8.08525614796509,28.62,82.6,5.21,"12:00",2024-05-28 12:00:00
"32",20240528,4,"2006","Pre 4",36.3,8.06978706362434,28.52,82.2,5.19,"12:00",2024-05-28 12:00:00
"33",20240528,1,"2011","COTS 1",36.3,8.06352256955368,28.486,80.9,5.1,"12:00",2024-05-28 12:00:00
"34",20240528,2,"2011","COTS 2",36.3,8.08526852343388,28.619,87,5.08,"12:00",2024-05-28 12:00:00
"35",20240528,3,"2011","COTS 3",36.3,8.06918331072898,28.569,77.1,4.85,"12:00",2024-05-28 12:00:00
"36",20240528,4,"2011","COTS 4",36.4,8.09001165704686,28.926,88.4,5.55,"12:00",2024-05-28 12:00:00
"37",20240528,1,"2019","Bleach 1",36.9,8.05835331063556,28.462,86,5.42,"12:00",2024-05-28 12:00:00
"38",20240528,2,"2019","Bleach 2",36.3,8.08441389116795,28.418,76.2,4.82,"12:00",2024-05-28 12:00:00
"39",20240528,3,"2019","Bleach 3",36.3,8.08811492395884,28.524,82.3,5.18,"12:00",2024-05-28 12:00:00
"40",20240528,4,"2019","Bleach 4",36.3,8.10779100674287,28.688,81.3,5.11,"12:00",2024-05-28 12:00:00
"41",20240528,1,"Control","Control 1",36.4,8.05157417545414,28.523,80.8,5.1,"12:00",2024-05-28 12:00:00
"42",20240528,2,"Control","Control 2",36.4,8.0654072391157,28.485,84,5.31,"12:00",2024-05-28 12:00:00
"43",20240528,1,"2006","Pre 1",36.4,8.03229378261091,28.597,83.2,5.25,"17:00",2024-05-28 17:00:00
"44",20240528,2,"2006","Pre 2",36.3,8.03076396661643,28.569,80,5.04,"17:00",2024-05-28 17:00:00
"45",20240528,3,"2006","Pre 3",36.4,8.0695217791437,28.964,74,4.64,"17:00",2024-05-28 17:00:00
"46",20240528,4,"2006","Pre 4",36,8.05234546804022,28.531,84,5.33,"17:00",2024-05-28 17:00:00
"47",20240528,1,"2011","COTS 1",36.4,8.06881058357809,28.48,74.6,4.72,"17:00",2024-05-28 17:00:00
"48",20240528,2,"2011","COTS 2",36.4,8.02506461463795,28.642,76.8,4.85,"17:00",2024-05-28 17:00:00
"49",20240528,3,"2011","COTS 3",36.4,8.05453526191105,28.69,75,4.72,"17:00",2024-05-28 17:00:00
"50",20240528,4,"2011","COTS 4",36.4,8.04074195893235,28.862,82.2,5.15,"17:00",2024-05-28 17:00:00
"51",20240528,1,"2019","Bleach 1",36.4,8.04962153670659,28.546,74.4,4.7,"17:00",2024-05-28 17:00:00
"52",20240528,2,"2019","Bleach 2",36.4,8.04885307001724,28.336,70.5,4.55,"17:00",2024-05-28 17:00:00
"53",20240528,3,"2019","Bleach 3",36.3,8.05642199014319,28.656,70.4,4.44,"17:00",2024-05-28 17:00:00
"54",20240528,4,"2019","Bleach 4",36.2,8.00718824669596,28.706,72.9,4.6,"17:00",2024-05-28 17:00:00
"55",20240528,1,"Control","Control 1",36.4,8.04263346560055,28.571,86.2,5.44,"17:00",2024-05-28 17:00:00
"56",20240529,1,"2006","Pre 1",36.4,8.0653703073788,28.488,89.5,5.68,"10:30",2024-05-29 10:30:00
"57",20240529,2,"2006","Pre 2",36.4,8.1016980761083,28.657,80.2,5,"10:30",2024-05-29 10:30:00
"58",20240529,3,"2006","Pre 3",36.4,8.09895403182425,29.146,79.8,5.41,"10:30",2024-05-29 10:30:00
"59",20240529,4,"2006","Pre 4",36.4,8.06879849853943,28.752,77.8,4.89,"10:30",2024-05-29 10:30:00
"60",20240529,1,"2011","COTS 1",36.4,8.09145746767194,29.749,73,4.52,"10:30",2024-05-29 10:30:00
"61",20240529,2,"2011","COTS 2",36.4,8.09266579665552,28.981,71.3,4.46,"10:30",2024-05-29 10:30:00
"62",20240529,3,"2011","COTS 3",36.4,8.05497732985196,28.654,78.1,4.88,"10:30",2024-05-29 10:30:00
"63",20240529,4,"2011","COTS 4",36.4,8.05495202830576,28.792,87.2,5.47,"10:30",2024-05-29 10:30:00
"64",20240529,1,"2019","Bleach 1",36.3,8.10018547251122,29.031,82.5,5.17,"10:30",2024-05-29 10:30:00
"65",20240529,2,"2019","Bleach 2",36.4,8.08964179856188,28.417,78.1,4.94,"10:30",2024-05-29 10:30:00
"66",20240529,3,"2019","Bleach 3",36.4,8.137204618518,28.888,82.8,5.2,"10:30",2024-05-29 10:30:00
